ModelID	version_no	version_date
5001	1.0	2024-10-03
5001	2.0	2024-12-27
5001	3.0	2025-08-20
5002	1.0	2020-09-28
5002	2.0	2023-07-27
5002	3.0	2025-02-01
5002	4.0	2025-05-11
5003	1.0	2021-11-07
5004	1.0	2021-11-15
5004	2.0	2025-05-13
5004	3.0	2025-07-10
5004	4.0	2025-07-24
5005	1.0	2024-06-10
5005	2.0	2024-10-11
5006	1.0	2023-03-10
5006	2.0	2024-07-15
5007	1.0	2022-11-23
5008	1.0	2025-09-03
5008	2.0	2025-12-06
5009	1.0	2025-01-17
5009	2.0	2025-05-11
5009	3.0	2025-07-23
5009	4.0	2025-10-24
5009	5.0	2025-11-14
5010	1.0	2023-02-19
5010	2.0	2023-08-02
5010	3.0	2024-01-25
5010	4.0	2024-06-14
5011	1.0	2025-01-10
5012	1.0	2023-01-04
5012	2.0	2024-06-13
5013	1.0	2022-11-04
5013	2.0	2025-04-23
5013	3.0	2025-07-13
5014	1.0	2021-08-13
5015	1.0	2021-10-24
5016	1.0	2024-10-25
5016	2.0	2025-03-21
5016	3.0	2025-04-28
5016	4.0	2025-06-28
5016	5.0	2025-10-04
5017	1.0	2025-06-13
5017	2.0	2025-07-01
5017	3.0	2025-09-25
5017	4.0	2025-10-27
5017	5.0	2025-11-04
5018	1.0	2021-06-06
5018	2.0	2022-06-02
5018	3.0	2022-09-27
5018	4.0	2024-01-02
5018	5.0	2024-03-15
5019	1.0	2025-11-04
5019	2.0	2025-12-01
5020	1.0	2024-12-23
5021	1.0	2022-01-28
5021	2.0	2022-02-20
5021	3.0	2022-06-16
5021	4.0	2022-09-24
5021	5.0	2024-05-14
5022	1.0	2020-08-16
5022	2.0	2020-11-19
5022	3.0	2021-05-12
5022	4.0	2022-05-22
5023	1.0	2023-11-27
5024	1.0	2020-07-10
5024	2.0	2024-04-08
5024	3.0	2024-08-04
5024	4.0	2024-08-09
5024	5.0	2025-10-07
5025	1.0	2024-01-03
5025	2.0	2024-11-21
5026	1.0	2020-10-22
5026	2.0	2021-10-24
5026	3.0	2022-06-18
5026	4.0	2023-09-16
5027	1.0	2020-08-28
5027	2.0	2022-06-17
5027	3.0	2022-10-23
5027	4.0	2023-04-13
5027	5.0	2023-04-19
5028	1.0	2020-02-26
5028	2.0	2020-11-18
5028	3.0	2023-08-07
5029	1.0	2021-03-28
5029	2.0	2022-07-22
5029	3.0	2025-05-22
5029	4.0	2025-11-02
5030	1.0	2024-01-17
5030	2.0	2025-05-15
5030	3.0	2025-06-07
5030	4.0	2025-09-26
5030	5.0	2025-10-23
5031	1.0	2023-08-13
5031	2.0	2023-09-13
5031	3.0	2024-05-07
5032	1.0	2023-08-20
5032	2.0	2024-02-11
5032	3.0	2025-02-01
5032	4.0	2025-05-24
5033	1.0	2020-12-08
5033	2.0	2022-06-17
5033	3.0	2024-02-01
5033	4.0	2024-03-03
5034	1.0	2020-12-26
5034	2.0	2025-01-06
5034	3.0	2025-09-08
5035	1.0	2025-10-07
5036	1.0	2025-04-23
5037	1.0	2024-12-03
5037	2.0	2025-05-21
5037	3.0	2025-11-09
5038	1.0	2022-09-28
5038	2.0	2024-05-21
5038	3.0	2025-02-07
5038	4.0	2025-09-12
5039	1.0	2022-05-19
5040	1.0	2023-05-14
5040	2.0	2025-03-15
5040	3.0	2025-11-09
5040	4.0	2025-11-26
5041	1.0	2024-06-05
5041	2.0	2025-08-18
5042	1.0	2022-07-04
5042	2.0	2023-10-08
5042	3.0	2025-04-28
5043	1.0	2024-09-22
5043	2.0	2024-09-27
5044	1.0	2022-02-04
5045	1.0	2023-02-19
5045	2.0	2023-05-16
5045	3.0	2023-12-22
5045	4.0	2025-03-13
5046	1.0	2021-09-26
5046	2.0	2024-03-01
5046	3.0	2025-09-09
5046	4.0	2025-11-27
5047	1.0	2022-02-09
5047	2.0	2024-05-18
5047	3.0	2024-11-01
5047	4.0	2025-12-02
5048	1.0	2021-08-17
5048	2.0	2023-11-02
5048	3.0	2025-03-07
5048	4.0	2025-05-20
5048	5.0	2025-09-21
5049	1.0	2025-03-27
5049	2.0	2025-05-16
5049	3.0	2025-05-26
5049	4.0	2025-12-01
5050	1.0	2023-03-09
5050	2.0	2025-09-27
5050	3.0	2025-11-21
5050	4.0	2025-12-02
