ModelID	TaskID	is_primary
5001	7001	true
5001	7002	false
5001	7003	false
5001	7004	false
5001	7006	false
5001	7018	false
5002	7002	true
5002	7001	false
5002	7004	false
5002	7018	false
5003	7001	true
5003	7002	false
5003	7003	false
5003	7004	false
5003	7019	false
5003	7008	false
5003	7018	false
5004	7001	true
5004	7002	false
5004	7003	false
5004	7004	false
5004	7019	false
5004	7008	false
5004	7018	false
5005	7002	true
5005	7003	false
5005	7004	false
5005	7019	false
5005	7018	false
5006	7002	true
5006	7003	false
5006	7004	false
5006	7019	false
5006	7018	false
5007	7002	true
5007	7001	false
5007	7003	false
5007	7004	false
5007	7018	false
5008	7002	true
5008	7001	false
5008	7003	false
5008	7004	false
5008	7018	false
5009	7002	true
5009	7001	false
5009	7003	false
5009	7004	false
5009	7018	false
5010	7001	true
5010	7002	false
5010	7004	false
5010	7003	false
5010	7008	false
5010	7018	false
5011	7001	true
5011	7002	false
5011	7004	false
5011	7003	false
5011	7008	false
5011	7018	false
5012	7010	true
5012	7006	false
5012	7005	false
5012	7019	false
5012	7008	false
5012	7020	false
5012	7018	false
5013	7010	true
5013	7006	false
5013	7005	false
5013	7019	false
5013	7009	false
5013	7008	false
5013	7020	false
5013	7018	false
5014	7010	true
5014	7006	false
5014	7005	false
5014	7009	false
5014	7019	false
5014	7008	false
5014	7020	false
5014	7018	false
5015	7010	true
5015	7006	false
5015	7005	false
5015	7009	false
5015	7019	false
5015	7008	false
5015	7020	false
5015	7018	false
5016	7010	true
5016	7006	false
5016	7005	false
5016	7009	false
5016	7008	false
5016	7020	false
5016	7018	false
5017	7010	true
5017	7006	false
5017	7005	false
5017	7009	false
5017	7008	false
5017	7020	false
5017	7018	false
5018	7010	true
5018	7006	false
5018	7005	false
5018	7009	false
5018	7019	false
5018	7008	false
5018	7020	false
5018	7018	false
5019	7019	true
5019	7010	false
5019	7009	false
5019	7006	false
5019	7005	false
5019	7008	false
5019	7020	false
5019	7018	false
5020	7019	true
5020	7010	false
5020	7006	false
5020	7005	false
5020	7018	false
5021	7019	true
5021	7010	false
5021	7006	false
5021	7005	false
5021	7018	false
5022	7011	true
5022	7012	false
5022	7013	false
5022	7020	false
5022	7018	false
5023	7011	true
5023	7012	false
5023	7013	false
5023	7020	false
5023	7018	false
5024	7014	true
5024	7015	false
5024	7020	false
5024	7018	false
5025	7014	true
5025	7015	false
5025	7020	false
5025	7018	false
5026	7011	true
5026	7018	false
5027	7011	true
5027	7012	false
5027	7018	false
5028	7011	true
5028	7012	false
5028	7018	false
5029	7011	true
5029	7018	false
5030	7012	true
5030	7011	false
5030	7018	false
5031	7012	true
5031	7018	false
5032	7006	true
5032	7005	false
5032	7007	false
5032	7009	false
5032	7010	false
5032	7018	false
5033	7006	true
5033	7005	false
5033	7007	false
5033	7009	false
5033	7010	false
5033	7018	false
5034	7006	true
5034	7007	false
5034	7009	false
5034	7010	false
5034	7018	false
5035	7009	true
5035	7010	false
5035	7006	false
5035	7008	false
5035	7018	false
5036	7009	true
5036	7010	false
5036	7006	false
5036	7008	false
5036	7018	false
5037	7017	true
5037	7018	false
5038	7017	true
5038	7018	false
5039	7017	true
5039	7018	false
5040	7017	true
5040	7018	false
5041	7017	true
5041	7018	false
5042	7017	true
5042	7018	false
5043	7016	true
5043	7018	false
5044	7016	true
5044	7018	false
5045	7014	true
5045	7018	false
5046	7014	true
5046	7020	false
5046	7018	false
5047	7007	true
5047	7006	false
5047	7005	false
5047	7018	false
5048	7001	true
5048	7002	false
5048	7003	false
5048	7004	false
5048	7018	false
5049	7001	true
5049	7002	false
5049	7003	false
5049	7004	false
5049	7018	false
5050	7001	true
5050	7002	false
5050	7003	false
5050	7004	false
5050	7008	false
5050	7018	false
