ModelID	model_name	license	size	OrgID
5001	CodeBERT	Apache-2.0	0.4B	1233
5002	GraphCodeBERT	MIT	0.42B	1316
5003	DeepSeekCoder-1.3B	Apache-2.0	1.3B	2328
5004	DeepSeekCoder-6.7B	Apache-2.0	6.7B	2328
5005	StarCoder2-3B	BigCode-OpenRAIL-M	3B	2279
5006	StarCoder2-15B	BigCode-OpenRAIL-M	15B	2279
5007	CodeLlama-7B	Meta-LLama	7B	1239
5008	CodeLlama-13B	Meta-LLama	13B	1239
5009	CodeLlama-34B	Meta-LLama	34B	1239
5010	Qwen2.5-Coder-1.5B	Apache-2.0	1.5B	2490
5011	Qwen2.5-Coder-7B	Apache-2.0	7B	2490
5012	GPT-4o-Mini	Proprietary	3B	1264
5013	GPT-4o	Proprietary	8B	1264
5014	Gemini-2.0-Pro	Proprietary	6.2B	1081
5015	Gemini-2.0-Ultra	Proprietary	12B	1081
5016	Claude-3.5-Sonnet	Proprietary	9B	1741
5017	Claude-3.5-Opus	Proprietary	13B	1741
5018	Llama3-8B	Meta-LLama	8B	1239
5019	Llama3-70B	Meta-LLama	70B	1239
5020	Mistral-7B	Apache-2.0	7B	2043
5021	Mixtral-8x7B	Apache-2.0	56B	2043
5022	StableDiffusion-XL	CreativeML	6.8B	1415
5023	StableDiffusion-2.1	CreativeML	5.2B	1746
5024	Whisper-Large-V3	MIT	3B	1264
5025	Whisper-Small	MIT	0.6B	1264
5026	ResNet50	Apache-2.0	98M	1316
5027	EfficientNet-B7	Apache-2.0	280M	1316
5028	ViT-B16	Apache-2.0	330M	1415
5029	MobileNetV3-Large	Apache-2.0	21M	1316
5030	YOLOv8-Large	AGPL-3.0	250M	1746
5031	YOLOv11-Nano	AGPL-3.0	9M	1746
5032	BERT-Base	Apache-2.0	0.42B	1316
5033	RoBERTa-Large	MIT	1.3B	1316
5034	DeBERTaV3-Large	MIT	1.5B	1316
5035	T5-Large	Apache-2.0	2.7B	1415
5036	T5-3B	Apache-2.0	3B	1415
5037	XGBoost-Classifier	Apache-2.0	15M	1233
5038	LightGBM-Ranker	MIT	12M	1316
5039	CatBoost-Regressor	Apache-2.0	18M	1989
5040	SVM-RBF-Model	Proprietary	5M	2770
5041	RandomForest-Classifier	MIT	11M	2770
5042	GradientBoost-Classifier	MIT	14M	2770
5043	NeuralProphet-v1	BSD-3	65M	3068
5044	Prophet-v1	MIT	20M	1906
5045	Tacotron2-TTS	MIT	150M	1316
5046	Wav2Vec2-Large	Apache-2.0	1.2B	1316
5047	SentenceBERT-MPNet	MIT	440M	1982
5048	CodeBERT-Finetuned-VulnScan	Apache-2.0	0.45B	1233
5049	DeepSeek-VulnDetector-7B	Apache-2.0	7B	2328
5050	Qwen-VulnScan-1.5B	Apache-2.0	1.5B	2490
