OrgID	org_name	rating
1081	Google DeepMind	4.22
1233	Google Research	3.26
1239	Meta AI	1.92
1264	OpenAI	3.18
1316	Microsoft Research	4.14
1404	NVIDIA Research	2.37
1415	HuggingFace	2.95
1449	Amazon AI	0.19
1460	IBM Research	0.02
1575	Apple ML Team	3.12
1601	Salesforce Research	2.9
1623	Cohere AI	2.1
1741	Anthropic	1.53
1746	Stability AI	1.12
1748	Tencent AI Lab	2.44
1779	Baidu Research	1.43
1794	Alibaba DAMO Academy	1.04
1816	Intel AI Lab	0.7
1820	Samsung Research	1.93
1837	Qualcomm AI	2.23
1839	Sony AI	3.73
1906	Huawei Noah's Ark Lab	0.93
1907	ByteDance AI	3.02
1952	Uber AI Labs	3.34
1977	JPMorgan AI Research	0.46
1982	Bloomberg AI	1.01
1983	Tesla AI	0.63
1989	AI2 Allen Institute	0.77
1994	CarperAI	4.83
2002	EleutherAI	2.36
2043	Mistral AI	3.89
2074	Adept AI	3.68
2130	xAI	0.64
2133	Lambda Labs	0.49
2184	RunwayML	4.87
2255	Reka AI	3.09
2267	Databricks AI	3.98
2272	Graphcore Research	2.38
2279	OpenMined	4.63
2328	DeepSeek AI	1.07
2347	Grok AI (xAI)	4.58
2490	Qwen Team (Alibaba)	4.08
2507	Sonnet AI	1.63
2519	ChatGPT Research (OpenAI)	0.78
2524	Gemini Team (Google DeepMind)	4.4
2525	Horizon Robotics	2.42
2526	Preferred Networks	4.09
2580	SambaNova Systems	3.68
2617	Aleph Alpha	1.34
2642	LightOn AI	1.94
2657	TwentyBN	0.29
2659	LatticeFlow AI	1.39
2717	Konduit AI	4.93
2749	Anyscale	1.52
2770	Scale AI	3.38
2789	Weights & Biases	3.09
2864	PapersWithCode	1.73
2870	Unitary AI	4.13
2894	Perplexity AI	0.21
2904	Vicarious AI	3.91
2926	Global AI Lab	4.53
2940	Quantum AI Lab	3.31
2980	Digital Cognitive Computing Research Center	1.6
3068	Ultra Data Science Research Center	2.81
3077	Advanced AI Innovation Hub	2.94
3089	Ultra Machine Learning Innovation Hub	3.8
3131	Quantum Data Science Institute	4.73
3139	Digital AI Innovation Hub	3.61
3200	Pioneer Deep Learning Research Center	1.91
3227	Future Deep Learning Technologies	1.38
3228	Quantum AI Institute	2.79
3257	Ultra AI Lab	2.36
3275	Advanced Neural Systems Lab	0.07
3285	Ultra AI Institute	4.77
3420	Quantum Cognitive Computing Solutions	0.97
3514	Future Neural Systems Lab	3.78
3587	Global Neural Systems Research Center	0.87
3607	Future AI Institute	0.69
3613	Prime Deep Learning Research Center	0.01
3628	Vision Neural Systems Technologies	3.17
3630	Vision Data Science Lab	3.15
3634	Vision Cognitive Computing Research Center	4.0
3723	Vision Data Science Institute	1.04
3763	Vision Neural Systems Research Center	3.48
3793	Digital Cognitive Computing Institute	2.68
3861	NextGen AI Research Center	2.73
3890	Quantum Data Science Innovation Hub	2.50
3897	Ultra Neural Systems Innovation Hub	3.81
3925	Ultra Machine Learning Lab	4.37
3955	Digital Cognitive Computing Solutions	3.39
3957	Global Machine Learning Lab	2.67
4040	Advanced Data Science Solutions	4.11
4204	Advanced Neural Systems Lab	0.39
4224	Quantum Machine Learning Solutions	3.1
4309	Ultra Cognitive Computing Technologies	3.54
4310	Ultra AI Research Center	3.95
4370	Pioneer AI Innovation Hub	3.77
4420	Vision Neural Systems Technologies	2.38
4432	Future Cognitive Computing Research Center	1.62
4447	Vision Cognitive Computing Institute	2.66
4455	Future AI Solutions	2.83
4522	Ultra Machine Learning Lab	4.24
4612	Future Deep Learning Lab	1.14
4635	Future Neural Systems Technologies	1.18
4658	Advanced Cognitive Computing Solutions	0.27
4756	Digital Deep Learning Technologies	3.71
4758	Future Deep Learning Solutions	0.25
4821	Future Machine Learning Lab	0.68
4847	Digital Machine Learning Innovation Hub	3.74
4881	Global Cognitive Computing Solutions	1.11
4917	Digital Data Science Institute	1.8
4918	NextGen Machine Learning Institute	2.75
4982	Prime AI Innovation Hub	1.21
4999	Digital Machine Learning Solutions	0.36
5103	Future AI Research Center	2.62
5109	Advanced Data Science Institute	3.9
5121	Future AI Innovation Hub	4.24
5288	NextGen Cognitive Computing Research Center	3.49
5358	Future Cognitive Computing Technologies	0.68
5368	NextGen AI Lab	4.94
5431	Ultra AI Technologies	3.59
5456	Vision Data Science Research Center	2.91
5458	Advanced AI Innovation Hub	4.81
5496	Future Deep Learning Institute	0.26
5522	Advanced AI Institute	4.67
5546	Pioneer Machine Learning Solutions	3.46
5563	Quantum Data Science Research Center	0.59
5618	Advanced Machine Learning Technologies	4.11
5623	Quantum Cognitive Computing Research Center	4.25
5630	Advanced Neural Systems Institute	4.63
5691	Vision AI Lab	1.16
5696	Ultra Data Science Technologies	2.65
5732	Future Machine Learning Innovation Hub	3.71
5755	Ultra Data Science Lab	1.38
5779	Future Machine Learning Lab	2.83
5820	Quantum Neural Systems Research Center	3.13
5827	Quantum Data Science Research Center	0.38
5850	Global Data Science Innovation Hub	2.91
5912	Future Neural Systems Lab	0.45
5916	NextGen AI Research Center	1.82
5918	Prime Machine Learning Research Center	3.5
5945	Advanced Deep Learning Research Center	1.28
5976	Vision Machine Learning Innovation Hub	2.8
6001	Pioneer AI Innovation Hub	2.32
6006	NextGen AI Lab	3.94
6018	Prime Neural Systems Research Center	0.42
6096	Vision Neural Systems Lab	3.44
6196	Vision Deep Learning Lab	1.84
6205	Digital AI Lab	3.91
6219	NextGen Data Science Lab	2.93
6329	Pioneer AI Innovation Hub	4.71
6340	Future Deep Learning Technologies	0.76
6344	Prime Deep Learning Technologies	1.59
6347	Advanced Deep Learning Solutions	4.93
6350	Vision Deep Learning Technologies	1.71
6498	Quantum Data Science Solutions	1.3
6538	Future Data Science Research Center	2.66
6575	Quantum Neural Systems Research Center	1.71
6591	Ultra Machine Learning Innovation Hub	4.02
6595	Pioneer AI Technologies	2.37
6637	Prime Cognitive Computing Solutions	4.19
6760	Vision Machine Learning Institute	3.61
6830	Ultra Neural Systems Technologies	2.84
6856	Quantum Neural Systems Solutions	1.35
6872	Digital Machine Learning Innovation Hub	2.33
6931	Future Machine Learning Lab	1.13
6971	Quantum Machine Learning Lab	0.43
