ResultID	accuracy	f1_score	hyperparameter_config	PIN	ModelID	version_no	DatasetID
1001	0.8789	0.687	lr=2e-5;batch=48;AdamW;warmup=100	413915	5028	2.0	9006
1002	0.8194	0.6431	lr=1e-4;batch=16;SGD	534868	5022	1.0	9008
1003	0.7302	0.7065	lr=5e-5;batch=32;SGD	534868	5022	1.0	9008
1004	0.837	0.8101	lr=1e-5;batch=16;AdamW	534868	5022	1.0	9008
1005	0.6931	0.6764	lr=5e-5;batch=32;SGD	393305	5026	4.0	9046
1006	0.9132	0.57	lr=2e-5;batch=48;AdamW;warmup=100	393305	5026	4.0	9046
1007	0.7646	0.7366	lr=1e-5;batch=16;AdamW	393305	5026	4.0	9046
1008	0.7164	0.6311	lr=4e-5;batch=32;AdamW;wd=0.01	393305	5026	4.0	9046
1009	0.7926	0.558	lr=2e-4;batch=64;Lion	393305	5026	4.0	9046
1010	0.6536	0.5705	lr=4e-5;batch=32;AdamW;wd=0.01	373000	5032	1.0	9025
1011	0.6095	0.6078	lr=5e-6;batch=8;AdamW	373000	5032	1.0	9025
1012	0.9563	0.8239	lr=1e-4;batch=16;SGD	373000	5032	1.0	9025
1013	0.9731	0.9534	lr=5e-5;batch=32;SGD	373000	5032	1.0	9025
1014	0.8491	0.6649	lr=2e-5;batch=48;AdamW;warmup=100	464659	5002	1.0	9018
1015	0.9368	0.8854	lr=5e-5;batch=32;SGD	464659	5002	1.0	9018
1016	0.8841	0.6866	lr=3e-5;batch=64;AdamW	464659	5002	1.0	9018
1017	0.9642	0.8086	lr=4e-5;batch=32;AdamW;wd=0.01	464659	5002	1.0	9018
1018	0.7876	0.6177	lr=3e-5;batch=48;RMSProp	140350	5030	3.0	9030
1019	0.7044	0.6439	lr=2e-4;batch=64;Lion	238903	5021	1.0	9024
1020	0.6791	0.5622	lr=3e-5;batch=48;RMSProp	238903	5021	1.0	9024
1021	0.6147	0.5938	lr=1e-5;batch=128;Adam	238903	5021	1.0	9024
1022	0.8998	0.8516	lr=3e-5;batch=64;AdamW	238903	5021	1.0	9024
1023	0.9144	0.8092	lr=4e-5;batch=32;AdamW;wd=0.01	238903	5021	1.0	9024
1024	0.9588	0.5603	lr=2e-5;batch=32;AdamW	413915	5022	2.0	9029
1025	0.8418	0.7597	lr=3e-5;batch=64;AdamW	413915	5022	2.0	9029
1026	0.8168	0.7571	lr=2e-4;batch=64;Lion	413915	5022	2.0	9029
1027	0.9559	0.8701	lr=5e-5;batch=32;SGD	413915	5022	2.0	9029
1028	0.9393	0.6669	lr=1e-5;batch=128;Adam	413915	5022	2.0	9029
