followerPIN	followeePIN	following_date
742016	353910	2020-01-05
421663	830293	2020-01-07
779760	397508	2020-01-24
519433	521587	2020-01-28
296321	411271	2020-01-30
470215	143426	2020-02-01
888249	237927	2020-02-11
411085	178427	2020-02-13
785175	379249	2020-02-14
379249	296321	2020-02-17
519433	331351	2020-02-19
263445	291104	2020-02-22
333589	888249	2020-03-06
779760	785175	2020-03-13
411271	268648	2020-03-20
511228	779760	2020-03-31
801028	526827	2020-04-01
263445	262895	2020-04-25
785175	830293	2020-04-30
785175	667426	2020-05-06
331351	178427	2020-05-07
742016	248331	2020-05-09
248331	333589	2020-05-09
488372	521587	2020-05-14
511228	788351	2020-05-17
345983	779760	2020-05-17
331351	888249	2020-05-27
785175	521587	2020-06-02
470310	801028	2020-06-03
521587	582112	2020-06-08
892048	291104	2020-06-11
331351	248331	2020-06-14
411085	296952	2020-06-15
143426	470310	2020-06-18
742016	333589	2020-06-19
521587	296321	2020-07-01
379249	397508	2020-07-03
291104	379249	2020-07-11
143426	521587	2020-07-14
830293	892048	2020-07-24
345983	102983	2020-08-03
742016	283986	2020-08-11
237927	411271	2020-08-26
238175	143426	2020-08-28
143426	519433	2020-09-05
892048	582112	2020-09-15
331351	859773	2020-09-18
282269	521587	2020-09-22
248331	178427	2020-09-23
331351	582112	2020-09-28
397508	411271	2020-09-29
263445	421663	2020-10-05
379249	630465	2020-10-06
296321	888249	2020-10-06
488372	804170	2020-10-07
470215	238175	2020-10-07
779760	630465	2020-10-12
353910	785175	2020-11-02
470215	296952	2020-11-06
333589	437659	2020-11-11
331351	382044	2020-11-17
995455	143426	2020-11-27
470215	178427	2020-11-29
397508	521587	2020-12-05
331351	488372	2020-12-07
804170	859773	2020-12-14
511228	411271	2020-12-22
526827	582112	2020-12-22
262895	268648	2020-12-25
282269	892048	2020-12-31
143426	291104	2021-01-08
433984	779760	2021-01-10
248331	397508	2021-01-19
511228	296952	2021-01-20
521587	333589	2021-01-27
411085	411271	2021-02-07
995455	262895	2021-02-10
667426	521587	2021-02-12
526827	437659	2021-02-13
519433	488372	2021-02-14
102983	519433	2021-02-20
151167	379249	2021-02-23
238175	526827	2021-02-25
470310	630465	2021-02-25
102983	470215	2021-03-01
521587	238175	2021-03-05
761550	785175	2021-03-11
667426	411085	2021-03-16
237927	470215	2021-03-19
411271	742016	2021-03-24
283986	830293	2021-03-26
411271	353910	2021-03-27
296952	178427	2021-04-04
630465	151167	2021-04-09
102983	379249	2021-04-16
237927	667426	2021-04-20
411085	433984	2021-04-21
263445	630465	2021-04-25
411271	788351	2021-04-26
433984	151167	2021-04-29
421663	888249	2021-05-03
283986	333589	2021-05-03
261315	333589	2021-05-07
801028	470310	2021-05-09
433984	804170	2021-05-15
353910	333589	2021-05-15
331351	521587	2021-05-20
801028	511228	2021-05-21
488372	238175	2021-06-02
630465	353910	2021-06-08
761550	282269	2021-06-12
151167	667426	2021-06-15
282269	397508	2021-06-20
519433	282269	2021-06-21
262895	382044	2021-06-26
888249	411085	2021-06-26
801028	263445	2021-06-27
411271	421663	2021-06-28
382044	830293	2021-07-05
331351	801028	2021-07-05
411271	804170	2021-07-06
470310	261315	2021-07-10
238175	261315	2021-07-10
151167	830293	2021-07-11
892048	237927	2021-07-18
268648	667426	2021-07-24
521587	262895	2021-07-31
667426	779760	2021-08-02
433984	268648	2021-08-11
488372	511228	2021-08-12
296952	859773	2021-08-15
830293	353910	2021-08-16
761550	470310	2021-08-17
742016	488372	2021-08-19
262895	178427	2021-08-27
801028	995455	2021-09-04
667426	742016	2021-09-05
582112	296321	2021-09-06
421663	238175	2021-09-10
263445	151167	2021-09-17
437659	263445	2021-09-18
102983	262895	2021-09-25
526827	511228	2021-09-25
353910	761550	2021-09-28
296952	397508	2021-10-04
263445	785175	2021-10-10
263445	178427	2021-10-12
519433	262895	2021-10-20
382044	237927	2021-10-21
995455	470215	2021-10-30
248331	892048	2021-10-30
433984	437659	2021-11-04
892048	785175	2021-11-17
238175	331351	2021-11-18
511228	892048	2021-11-20
238175	521587	2021-11-23
102983	143426	2021-11-24
801028	470215	2021-11-25
411271	526827	2021-12-01
804170	421663	2021-12-15
526827	291104	2021-12-17
995455	291104	2022-01-03
268648	511228	2022-01-13
102983	353910	2022-01-13
779760	830293	2022-01-17
