PubID	ResultID	placement_type	placement_section
340	1001	paragraph	Related Work
413	1001	paragraph	Related Work
416	1001	paragraph	Experiments
349	1001	figure	Related Work
388	1002	paragraph	Results
325	1002	figure	Introduction
464	1002	paragraph	Results
313	1003	table	Introduction
429	1003	table	Method
422	1004	table	Method
353	1004	table	Results
373	1004	figure	Introduction
307	1004	figure	Introduction
487	1004	paragraph	Related Work
382	1005	paragraph	Related Work
370	1005	paragraph	Method
350	1005	paragraph	Experiments
394	1005	figure	Results
343	1006	table	Results
467	1006	table	Method
347	1006	paragraph	Experiments
493	1006	paragraph	Experiments
491	1007	table	Experiments
440	1007	paragraph	Results
422	1007	paragraph	Experiments
474	1007	paragraph	Results
362	1008	paragraph	Related Work
432	1008	figure	Experiments
322	1008	paragraph	Results
422	1009	figure	Experiments
456	1009	figure	Method
475	1009	paragraph	Method
460	1009	paragraph	Method
440	1009	figure	Related Work
439	1010	paragraph	Experiments
350	1010	figure	Introduction
433	1011	table	Related Work
387	1011	table	Results
442	1011	table	Introduction
326	1011	table	Introduction
441	1011	paragraph	Related Work
401	1012	paragraph	Related Work
440	1013	table	Method
360	1014	paragraph	Experiments
420	1014	paragraph	Experiments
405	1014	table	Method
395	1014	paragraph	Method
335	1014	paragraph	Experiments
487	1015	table	Method
358	1015	figure	Experiments
499	1015	table	Results
369	1015	paragraph	Introduction
312	1015	figure	Method
446	1016	paragraph	Results
491	1016	paragraph	Introduction
323	1016	table	Method
470	1016	table	Experiments
389	1017	table	Method
426	1017	table	Method
304	1018	table	Related Work
412	1018	paragraph	Experiments
346	1018	paragraph	Method
311	1018	paragraph	Results
458	1018	figure	Results
446	1019	paragraph	Experiments
396	1019	paragraph	Related Work
485	1020	figure	Experiments
396	1020	figure	Method
322	1021	figure	Results
310	1021	table	Related Work
416	1021	table	Related Work
498	1021	table	Related Work
367	1022	paragraph	Method
302	1023	paragraph	Experiments
379	1023	paragraph	Introduction
346	1024	figure	Experiments
406	1024	paragraph	Introduction
449	1024	figure	Experiments
415	1024	figure	Results
397	1025	table	Results
362	1025	paragraph	Introduction
367	1025	table	Introduction
378	1025	paragraph	Method
484	1025	paragraph	Related Work
446	1026	figure	Introduction
393	1026	paragraph	Method
466	1026	figure	Method
309	1026	table	Method
486	1026	figure	Introduction
342	1027	table	Results
470	1027	paragraph	Introduction
327	1027	figure	Introduction
395	1027	paragraph	Related Work
348	1027	paragraph	Method
461	1028	paragraph	Results
432	1028	paragraph	Results
465	1028	table	Introduction
387	1028	paragraph	Related Work
314	1029	table	Results
444	1029	figure	Results
358	1029	table	Experiments
374	1029	paragraph	Introduction
492	1030	table	Method
471	1030	paragraph	Method
431	1030	table	Related Work
306	1030	table	Experiments
496	1030	figure	Experiments
323	1031	figure	Introduction
346	1032	figure	Method
482	1032	table	Method
309	1032	figure	Related Work
345	1033	figure	Method
413	1033	paragraph	Related Work
354	1033	table	Results
372	1034	figure	Results
375	1034	figure	Results
489	1035	figure	Results
429	1036	table	Introduction
490	1037	table	Method
367	1037	figure	Results
