PIN	DatasetID	role
742139	9001	contributor
178427	9066	owner
411271	9036	owner
282269	9069	contributor
864183	9061	owner
459069	9058	creator
470427	9016	owner
470215	9062	creator
611761	9012	owner
511228	9043	contributor
710956	9018	owner
296321	9041	owner
178427	9067	creator
382044	9002	creator
936582	9049	creator
543773	9005	owner
159864	9020	owner
785175	9005	annotator
397508	9023	validator
694610	9058	validator
921883	9042	owner
849046	9058	owner
470215	9036	annotator
482996	9069	contributor
689093	9001	contributor
954163	9025	contributor
710956	9001	creator
262895	9015	owner
590655	9024	owner
283986	9067	owner
521088	9034	owner
296952	9064	owner
261315	9008	owner
694610	9046	contributor
653158	9053	contributor
159864	9052	owner
526827	9031	owner
869646	9023	owner
869646	9034	owner
521088	9046	validator
470427	9040	contributor
801028	9058	creator
742139	9027	owner
268648	9010	annotator
429348	9046	creator
590655	9052	owner
936582	9002	validator
804170	9003	validator
534455	9055	owner
526827	9003	contributor
921883	9020	creator
345983	9027	creator
382044	9047	validator
397508	9017	validator
565766	9049	contributor
667426	9039	annotator
262895	9059	contributor
621636	9040	owner
611599	9024	contributor
143426	9039	creator
995455	9056	owner
197783	9044	owner
621636	9056	contributor
582112	9014	creator
429348	9033	owner
470215	9051	contributor
785175	9014	owner
345983	9068	contributor
830293	9069	contributor
533206	9047	annotator
248331	9057	owner
480327	9036	creator
480327	9012	validator
894813	9051	owner
143426	9014	contributor
804170	9011	owner
472242	9035	creator
534455	9060	owner
262895	9065	validator
421663	9043	annotator
936582	9010	annotator
543773	9007	owner
521088	9032	owner
859773	9022	creator
480327	9030	owner
810380	9070	owner
429348	9042	creator
896369	9047	owner
621636	9031	contributor
197657	9065	contributor
437659	9017	owner
488372	9048	contributor
526827	9014	contributor
869646	9047	owner
896369	9049	owner
533206	9058	creator
433984	9012	contributor
582112	9028	contributor
429348	9070	creator
480327	9070	creator
437659	9018	creator
470427	9009	creator
470310	9061	creator
345983	9013	annotator
526827	9046	owner
178427	9004	validator
849046	9050	owner
482996	9047	owner
248331	9049	owner
810380	9045	owner
982921	9052	creator
629076	9053	contributor
178427	9021	creator
151167	9070	contributor
870502	9048	owner
262895	9050	creator
379249	9063	owner
613419	9033	contributor
788425	9007	validator
936582	9028	owner
248331	9022	owner
830293	9065	contributor
143426	9053	owner
888249	9052	creator
611599	9029	owner
470427	9051	annotator
714651	9035	owner
197657	9061	contributor
488372	9059	owner
694610	9054	owner
892048	9058	creator
248331	9060	contributor
291104	9047	creator
282269	9042	contributor
667426	9041	creator
611599	9032	creator
761550	9002	creator
480327	9010	owner
429348	9047	validator
459069	9040	validator
480327	9064	validator
470310	9003	owner
758688	9032	contributor
742139	9044	validator
521088	9024	contributor
761550	9048	contributor
801028	9069	contributor
788351	9001	owner
732718	9002	owner
479879	9004	owner
810380	9041	owner
480327	9067	owner
382044	9029	creator
716495	9019	owner
849046	9069	contributor
296952	9005	contributor
353910	9016	creator
379249	9015	owner
533206	9026	owner
830293	9062	owner
470215	9047	creator
611599	9055	contributor
488372	9024	validator
629076	9012	validator
470310	9018	annotator
411085	9069	owner
263445	9010	validator
470427	9043	owner
151167	9024	contributor
543773	9055	contributor
534455	9016	contributor
521587	9042	creator
102983	9068	owner
862336	9039	owner
238175	9035	creator
296952	9065	owner
526827	9005	creator
151167	9006	creator
804170	9015	creator
433984	9040	contributor
282269	9013	owner
810380	9009	owner
758688	9042	validator
565766	9051	validator
869646	9037	owner
894813	9046	validator
296952	9041	creator
582112	9064	creator
761550	9051	creator
869646	9029	creator
534868	9056	validator
810380	9037	owner
521088	9025	owner
623671	9007	contributor
892048	9006	owner
896369	9006	creator
197657	9014	creator
921883	9029	contributor
896369	9041	contributor
102983	9059	creator
810380	9054	owner
151167	9021	owner
437659	9051	creator
296321	9034	contributor
248331	9066	validator
629076	9021	validator
995455	9066	contributor
864183	9056	contributor
714651	9038	owner
694610	9002	owner
